,,,,,b
Ticker,Quantity,Price,Date of action,Action,Sector
FSLR,30,129.05,2022-10-07,BUY,ENERGY
NVDA,40,158.22,2021-05-27,BUY,TMT
AMD,54,72.38,2022-11-21,BUY,TMT
DFS,42,116.34,2022-04-21,BUY,FINANCIAL
EOG,66,87.78,2021-10-07,BUY,ENERGY
JPM,56,168.64,2021-10-18,BUY,FINANCIAL
KKR,77,51.13,2022-11-21,BUY,FINANCIAL
SRE,43,115.58,2019-02-12,BUY,ENERGY
BLK,20,426.76,2019-02-12,BUY,FINANCIAL
CAT,23,177.43,2022-10-07,BUY,INDUSTRIALS
MBUU,116,68.52,2022-02-16,BUY,CONSUMER
MDT,46,105.39,2022-03-08,BUY,HEALTHCARE
OHI,132,30.58,2022-11-21,BUY,HEALTHCARE
PG,32,124.23,2022-10-07,BUY,CONSUMER
PTC,79,121.63,2021-10-07,BUY,TMT
REGN,6,672.85,2021-12-01,BUY,HEALTHCARE
AAPL,50,166.14,2022-04-21,BUY,TMT
HD,25,309.85,2022-04-21,BUY,CONSUMER
MCD,94,241.1,2021-09-10,BUY,CONSUMER
MSFT,209,106.94,2019-02-12,BUY,TMT
UNH,14,158.07,2017-02-21,BUY,HEALTHCARE
ACLLY,12,24.09,2021-10-07,BUY,INDUSTRIALS
KGC,1340,5.77,2022-03-08,BUY,ENERGY
SE,38,224.35,2021-12-09,BUY,CONSUMER
ELV,15,397.52,2021-05-27,BUY,HEALTHCARE
BERY,48,51.98,2019-02-12,BUY,CONSUMER
GTN,250,23.88,2021-05-27,BUY,TMT
HCA,85,140.65,2019-02-12,BUY,HEALTHCARE
LGIH,35,179.52,2021-05-27,BUY,INDUSTRIALS
LMT,15,388.97,2021-05-27,BUY,INDUSTRIALS
OLLI,70,81.26,2021-05-27,BUY,CONSUMER
OKE,95,49.35,2018-02-20,BUY,ENERGY
PLD,50,118.47,2021-05-27,BUY,INDUSTRIALS
ELV,15,522.87,2022-04-21,SELL,HEALTHCARE
BERY,48,59.15,2022-04-21,SELL,CONSUMER
GTN,250,20.62,2022-04-21,SELL,TMT
HCA,85,269.44,2022-04-21,SELL,HEALTHCARE
LGIH,35,94.5,2022-04-21,SELL,INDUSTRIALS
LMT,15,439.54,2022-04-21,SELL,INDUSTRIALS
OLLI,70,50.84,2022-04-21,SELL,CONSUMER
OKE,95,71.47,2022-04-21,SELL,ENERGY
PLD,50,170.78,2022-04-21,SELL,INDUSTRIALS
FSLR,8,161.38,2023-02-22,SELL,ENERGY
UNP,25,193.48,2023-02-22,BUY,INDUSTRIALS
EOG,27,118.89,2023-02-22,SELL,ENERGY
MDT,23,77.81,2023-03-15,BUY,HEALTHCARE
SOFI,600,5.37,2023-03-15,SELL,FINANCIAL
SE,38,73.42,2023-03-15,SELL,CONSUMER
UNH,5,461.38,2023-03-15,SELL,HEALTHCARE
MSFT,140,306.69,2023-05-03,SELL,TMT
NVDA,10,279.33,2023-05-03,SELL,TMT
CRSP,40,48.98,2023-05-03,BUY,HEALTHCARE
CRK,415,9.94,2023-05-03,BUY,ENERGY
SCHW,135,49.07,2023-05-03,BUY,FINANCIAL
ACLLY,12,25.1,2023-05-03,SELL,INDUSTRIALS
MCD,20,293.2,2023-04-24,SELL,CONSUMER
DFS,42,82.05,2023-10-24,SELL,FINANCIAL
NVDA,17,430.1,2023-10-24,SELL,TMT
TMO,15,454.495,2023-11-06,BUY,HEALTHCARE
ARRY,295,12.785,2024-04-29,BUY,ENERGY
CTVA,72,55.075,2024-04-29,BUY,INDUSTRIALS
EVR,10,195.1275,2024-04-08,BUY,FINANCIAL
PYPL,62,66.1847,2024-04-08,BUY,TMT
